time,x,y,z,vx,vy,vz,ex,ey,ez
2.3099999999999947,5.461598284973459,6.111276048699784,2.1846393139893845,-0.5578058585168814,-0.4629967305095319,-0.22312234340675255,-0.4727544021437957,-1.1205359833099742,-0.18910176085751917
2.3199999999999945,5.450526810661035,6.101867929967186,2.1802107242644153,-0.5535737156211461,-0.4704059366298384,-0.22142948624845862,-0.46159828497345856,-1.111276048699784,-0.1846393139893845
2.3299999999999943,5.4395416077916625,6.092317413230251,2.175816643116666,-0.5492601434686383,-0.47752583684674854,-0.2197040573874557,-0.45052681066103517,-1.1018679299671863,-0.1802107242644153
2.339999999999994,5.42864424649734,6.082630211604085,2.171457698598937,-0.5448680647161406,-0.48436008130826735,-0.21794722588645626,-0.4395416077916625,-1.0923174132302513,-0.1758166431166659
2.349999999999994,5.417836239154955,6.072811964946963,2.1671344956619825,-0.5404003671192783,-0.49091233285616265,-0.21616014684771154,-0.4286442464973401,-1.0826302116040853,-0.1714576985989371
2.3599999999999937,5.40711904108767,6.062868239633499,2.1628476164350685,-0.5358599033642173,-0.4971862656732447,-0.21434396134568662,-0.4178362391549548,-1.072811964946963,-0.16713449566198246
2.3699999999999934,5.396494051269405,6.052804528354413,2.158597620507763,-0.5312494909132475,-0.5031855639542829,-0.2124997963652987,-0.40711904108766994,-1.0628682396334987,-0.1628476164350685
2.3799999999999932,5.385962613032126,6.042626249942403,2.154385045212851,-0.5265719118640239,-0.5089139206005131,-0.21062876474560946,-0.3964940512694053,-1.0528045283544127,-0.15859762050776283
2.389999999999993,5.375526014775682,6.0323387492236495,2.150210405910273,-0.5218299128222261,-0.5143750359376394,-0.2087319651288902,-0.38596261303212565,-1.042626249942403,-0.1543850452128508
2.399999999999993,5.365185490679934,6.0219472968945045,2.1460741962719734,-0.5170262047874176,-0.5195726164572407,-0.2068104819149664,-0.3755260147756818,-1.0323387492236495,-0.1502104059102729
