time,position,velocity,error,command
0.01,0.005958345903781997,0.5958345903781996,9.928921686022322,59.583459037819964
0.02,0.013497452437250639,0.7539106533468641,10.90523009586603,15.807606296866453
0.03,0.021797633947916933,0.8300181510666295,10.350952524500048,7.610749771976531
0.04,0.031283111037377936,0.9485477089461,10.594323163829513,11.852955787947053
0.05,0.04156724554078951,1.028413450341158,10.151043247989193,7.986574139505802
0.06,0.052467369103468484,1.0900123562678972,9.475616790851806,6.1598905926739285
0.07,0.06407749976809708,1.1610130664628595,9.067946823237161,7.100071019496234
0.08,0.07784023442388709,1.3762734655790005,11.13069488309742,21.526039911614106
0.09,0.09180596747150706,1.396573304761997,9.59870914923702,2.0299839182996564
0.1,0.10715106697756413,1.5345099506057072,10.280954322978085,13.793664584371014
0.11,0.12324617637090503,1.6095109393340896,9.798931193974514,7.500098872838246
0.12,0.1407208462868369,1.747466991593187,10.444755519396889,13.79560522590974
0.13,0.15898006158421774,1.8259215297380837,9.989585624408122,7.845453814489673
0.14,0.17808698009126792,1.9106918507050168,9.713921438711635,8.477032096693302
0.15,0.19893727256299204,2.085029247172411,10.97515668285844,17.433739646739426
0.16,0.22042090229171935,2.1483629728727296,10.174429135340295,6.3333725700318695
0.17,0.2431249034955606,2.2704001203841253,10.483799242719336,12.203714751139554
0.18,0.2664015191133254,2.327661561776479,9.660402496468425,5.726144139235359
0.19,0.2909000064586352,2.4498487345309794,10.054658287580516,12.218717275450036
0.2,0.31592044398897545,2.502043753034028,9.215133020479648,5.219501850304855
0.21,0.3420113779344087,2.609093394543326,9.428200981169555,10.704964150929806
0.22,0.36965952215018116,2.7648144215772463,10.415211505237309,15.572102703392034
0.23,0.3979822548571144,2.832273270693326,9.765056467251883,6.745884911607957
0.24,0.42746429041231565,2.948203555520125,10.029446289727732,11.593028482679909
0.25,0.45745801699332517,2.9993726581009494,9.168889956032023,5.116910258082447
0.26,0.48856589557656543,3.110787858324028,9.454285591057992,11.14152002230786
0.27,0.5208732067390959,3.2307311162530414,9.832610813542955,11.994325792901332
0.28,0.5539672997070273,3.309409296793138,9.458554116779018,7.86781805400968
0.29,0.5876086953935661,3.3641395686538793,8.746250683039307,5.473027186074136
0.3,0.6226743894812229,3.5065694087656833,9.612721838800791,14.242984011180399
0.31,0.6588582653000756,3.6183875818852758,9.822949527143976,11.181817311959229
0.32,0.6958645932709971,3.7006327970921484,9.503672690102952,8.224521520687267
0.33,0.7335744056703623,3.7709812399365106,9.037822816057584,7.034844284436234
0.34,0.7721935920041724,3.8619186333810145,8.991265220152108,9.09373934445037
0.35000000000000003,0.8119263363683316,3.9732744364159194,9.29122551248548,11.13558030349047
0.36,0.8525418995507922,4.0615563182460575,9.155101219147321,8.828188183013797
0.37,0.8942245360242856,4.168263647349347,9.347197229713096,10.67073291032896
0.38,0.9362176402816762,4.199310425739051,8.244893910972989,3.1046778389704137
0.39,0.9796769941784667,4.345935389679042,9.251069059684394,14.662496393999062
0.4,1.0240447416285892,4.43677474501226,9.158261829859374,9.083935533321778
0.41000000000000003,1.0692622830281258,4.521754139953651,8.981759505223884,8.497939494139166
0.42,1.115478840047754,4.621655701962818,9.081863375261356,9.990156200916706
0.43,1.162431539132404,4.695269908465012,8.725706390777905,7.361420650219415
0.44,1.2103382924433272,4.790675331092312,8.790630734004461,9.540542262730012
0.45,1.2595567908638612,4.921849842053389,9.439312606821737,13.117451096107711
0.46,1.309557266269148,5.000047540528681,9.09541805639698,7.8197698475291855
0.47000000000000003,1.3600907766581016,5.053351038895379,8.392537173037601,5.330349836669734
0.48,1.4116824178603349,5.159164120223323,8.68051606691442,10.581308132794454
0.49,1.4639563052287934,5.2273887368458585,8.292641959728318,6.822461662253479
0.5,1.5171292321355527,5.317292690675935,8.32934759926572,8.990395383007668
0.51,1.571059815706217,5.393058357066422,8.122943684273007,7.576566639048654
0.52,1.6258151775513352,5.475536184511815,8.061466194995026,8.247782744539322
0.53,1.6814207170231268,5.560553947179161,8.051225336739806,8.501776266734653
0.54,1.7383399296725384,5.691921264941168,8.813714920618025,13.136731776200683
0.55,1.795551741354578,5.721181168203968,7.746041658586652,2.9259903262799334
0.56,1.8539355256223868,5.838378426780866,8.320549770500412,11.71972585768986
0.5700000000000001,1.9128620477795957,5.8926522157208785,7.749290488065754,5.4273788940011825
0.58,1.9737468470735577,6.088479929396212,9.630868020288855,19.58277136753336
0.59,2.0345626415505516,6.08157944769938,7.81874291711916,-0.6900481696831928
0.6,2.09632158238836,6.1758940837808165,7.994224923295006,9.431463608143655
0.61,2.1587227657609445,6.240118337258446,7.637680604943928,6.4224253477629025
0.62,2.2220412024395486,6.331843667860416,7.797612023053199,9.172533060196969
0.63,2.2864978913806917,6.445668894114292,8.297836826204998,11.382522625387612
0.64,2.3511869710158626,6.468907963517071,7.203720927825232,2.3239069402778494
0.65,2.417048429491966,6.58614584761033,7.857295041509843,11.723788409325854
0.66,2.483728887296536,6.668045780456988,7.8116723367475664,8.189993284665885
0.67,2.5515593869824404,6.783049968590432,8.324003670280378,11.50041881334442
0.68,2.6203846354064257,6.882524842398514,8.490709424564255,9.947487380808186
0.6900000000000001,2.6895669860032476,6.918235059682202,7.565625673448691,3.571021728368871
0.7000000000000001,2.759653726008627,7.008674000537953,7.705583676440673,9.043894085575019
0.71,2.8308113973300966,7.11576713214696,8.098435452246232,10.70931316090071
0.72,2.902620947589542,7.180955025944572,7.726103617957943,6.518789379761138
0.73,2.974826648018818,7.220570042927569,6.988447734518381,3.961501698299732
