time,position,velocity,error
4.2,"[19.099921793720917, 40.514, 9.607738125407312]","[0.7350578631346565, 7.739999999999988, 0.32034458041070657]","[0.9000782062790833, 9.485999999999997, 0.3922618745926876]"
4.3,"[19.167877878454785, 41.2304, 9.63735397545426]","[0.6795608473386885, 7.163999999999994, 0.296158500469474]","[0.8321221215452148, 8.769599999999997, 0.36264602454573946]"
4.4,"[19.230703265189145, 41.89244, 9.66473382289475]","[0.6282538673436093, 6.6203999999999965, 0.27379847440489513]","[0.7692967348108546, 8.10756, 0.3352661771052503]"
4.5,"[19.28878532264992, 42.504584, 9.690046486373127]","[0.5808205746077739, 6.121440000000007, 0.25312663478378283]","[0.7112146773500783, 7.495415999999999, 0.30995351362687273]"
4.6000000000000005,"[19.342482173146696, 43.0704824, 9.7134480386923]","[0.5369685049677493, 5.658983999999997, 0.23401552319174002]","[0.6575178268533044, 6.929517599999997, 0.28655196130769944]"
4.7,"[19.392124900682994, 43.59366464, 9.735082769127319]","[0.4964272753629828, 5.2318223999999915, 0.21634730435017957]","[0.6078750993170061, 6.40633536, 0.2649172308726815]"
4.800000000000001,"[19.438019592353804, 44.077343504, 9.755084073084081]","[0.4589469167081113, 4.836788640000009, 0.20001303956762762]","[0.5619804076461961, 5.922656496000002, 0.2449159269159189]"
4.9,"[19.480449225617182, 44.524505494399996, 9.773575274588644]","[0.42429633263376587, 4.471619904000008, 0.18491201504563115]","[0.519550774382818, 5.475494505600004, 0.2264247254113556]"
5.0,"[19.51967541307645, 44.93790634784, 9.79067038667841]","[0.392261874592684, 4.13400853440001, 0.17095112089766573]","[0.48032458692355107, 5.0620936521600015, 0.2093296133215894]"
5.1000000000000005,"[19.555940015531025, 45.320095457023996, 9.80647481438364]","[0.3626460245457501, 3.821891091839994, 0.15804427705229074]","[0.444059984468975, 4.679904542976004, 0.19352518561636067]"
5.2,"[19.58946663324155, 45.673429178566394, 9.821086004633706]","[0.33526617710524675, 3.5333372154240124, 0.14611190250067452]","[0.4105333667584503, 4.326570821433606, 0.17891399536629393]"
